
mbgsvcd v4.2.28 copyright Meinberg 2010-2024

2025-07-09 14:43:34 PC cycles counter frequency: 2900000000 Hz
2025-07-09 14:43:34 Found 1 device usable for the NTP daemon.
2025-07-09 14:43:34 Query-only mode, not updating SHM.
2025-07-09 14:43:34 GNS181PEX: Is synchronized
GNS181PEX: 2025-07-09 14:43:34.1482541 1752072214.148254156 1752072214.151310205 -0.003056288, ltcy: 0.29 us, exec: 0.15 us, limit: 0.15 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:43:35.1484370 1752072215.148437023 1752072215.151493549 -0.003056765, ltcy: 0.25 us, exec: 0.38 us, limit: 0.27 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:43:36.1486790 1752072216.148679018 1752072216.151736259 -0.003057480, ltcy: 0.24 us, exec: 0.61 us, limit: 0.38 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:43:37.1489510 1752072217.148951054 1752072217.152009010 -0.003058195, ltcy: 0.25 us, exec: 0.30 us, limit: 0.36 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:43:38.1491908 1752072218.149190903 1752072218.152249575 -0.003058910, ltcy: 0.24 us, exec: 0.33 us, limit: 0.36 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:43:39.1494343 1752072219.149434328 1752072219.152493477 -0.003059387, ltcy: 0.23 us, exec: 0.31 us, limit: 0.35 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:43:40.1500538 1752072220.150053740 1752072220.152659178 -0.002605677, ltcy: 0.26 us, exec: 0.29 us, limit: 0.34 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:43:41.1507454 1752072221.150745392 1752072221.152865887 -0.002120733, ltcy: 0.24 us, exec: 0.39 us, limit: 0.35 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:43:42.1513658 1752072222.151365757 1752072222.153043270 -0.001677752, ltcy: 0.25 us, exec: 0.38 us, limit: 0.35 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:43:43.1519167 1752072223.151916742 1752072223.153234482 -0.001317978, ltcy: 0.25 us, exec: 0.30 us, limit: 0.34 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:43:44.1526645 1752072224.152664661 1752072224.153665781 -0.001001358, ltcy: 0.19 us, exec: 0.26 us, limit: 0.36 us, st: 0x0014, NTP leap: 0x00, retries: 1 <<
GNS181PEX: 2025-07-09 14:43:45.1531526 1752072225.153152704 1752072225.153903961 -0.000751495, ltcy: 0.25 us, exec: 0.29 us, limit: 0.36 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:43:46.1538014 1752072226.153801441 1752072226.154353857 -0.000552654, ltcy: 0.15 us, exec: 0.26 us, limit: 0.37 us, st: 0x0014, NTP leap: 0x00, retries: 1 <<
GNS181PEX: 2025-07-09 14:43:47.1541673 1752072227.154167414 1752072227.154601574 -0.000434399, ltcy: 0.26 us, exec: 0.29 us, limit: 0.37 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:43:48.1545164 1752072228.154516459 1752072228.154861927 -0.000345469, ltcy: 0.09 us, exec: 0.09 us, limit: 0.35 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:43:49.1547930 1752072229.154793024 1752072229.155035019 -0.000242233, ltcy: 0.25 us, exec: 0.37 us, limit: 0.35 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:43:50.1551242 1752072230.155124187 1752072230.155272722 -0.000148773, ltcy: 0.25 us, exec: 0.26 us, limit: 0.35 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:43:51.1554484 1752072231.155448437 1752072231.155529022 -0.000080824, ltcy: 0.26 us, exec: 0.29 us, limit: 0.35 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:43:52.1557136 1752072232.155713558 1752072232.155775309 -0.000061989, ltcy: 0.26 us, exec: 0.29 us, limit: 0.34 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:43:53.1560122 1752072233.156012297 1752072233.156051874 -0.000039816, ltcy: 0.25 us, exec: 0.24 us, limit: 0.34 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:43:54.1562941 1752072234.156294107 1752072234.156313419 -0.000019550, ltcy: 0.34 us, exec: 0.07 us, limit: 0.33 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:43:55.1564904 1752072235.156490564 1752072235.156485319 +0.000005007, ltcy: 0.22 us, exec: 0.37 us, limit: 0.33 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:43:56.1567535 1752072236.156753540 1752072236.156728029 +0.000025272, ltcy: 0.25 us, exec: 0.30 us, limit: 0.33 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:43:57.1570549 1752072237.157054901 1752072237.157022476 +0.000032187, ltcy: 0.26 us, exec: 0.30 us, limit: 0.33 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:43:58.1573075 1752072238.157307625 1752072238.157277822 +0.000029802, ltcy: 0.10 us, exec: 0.07 us, limit: 0.32 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:43:59.1574856 1752072239.157485723 1752072239.157460451 +0.000025034, ltcy: 0.26 us, exec: 0.08 us, limit: 0.31 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:44:00.1578587 1752072240.157858849 1752072240.157841444 +0.000017166, ltcy: 0.17 us, exec: 0.30 us, limit: 0.32 us, st: 0x0014, NTP leap: 0x00, retries: 1 <<
GNS181PEX: 2025-07-09 14:44:01.1580439 1752072241.158043861 1752072241.158039808 +0.000003576, ltcy: 0.50 us, exec: 0.28 us, limit: 0.32 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:44:02.1584798 1752072242.158479929 1752072242.158480406 -0.000000715, ltcy: 0.23 us, exec: 0.23 us, limit: 0.33 us, st: 0x0014, NTP leap: 0x00, retries: 1 <<
GNS181PEX: 2025-07-09 14:44:03.1587594 1752072243.158759356 1752072243.158763647 -0.000004530, ltcy: 0.16 us, exec: 0.29 us, limit: 0.32 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:44:04.1590374 1752072244.159037352 1752072244.159038544 -0.000001431, ltcy: 0.19 us, exec: 0.29 us, limit: 0.31 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:44:05.1592748 1752072245.159274817 1752072245.159280300 -0.000005722, ltcy: 0.17 us, exec: 0.32 us, limit: 0.32 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:44:06.1594999 1752072246.159499884 1752072246.159519196 -0.000019550, ltcy: 0.19 us, exec: 0.30 us, limit: 0.31 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:44:07.1597305 1752072247.159730434 1752072247.159763813 -0.000033617, ltcy: 0.16 us, exec: 0.52 us, limit: 0.32 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:44:08.1599916 1752072248.159991741 1752072248.160037041 -0.000045538, ltcy: 0.18 us, exec: 0.33 us, limit: 0.32 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:44:09.1602181 1752072249.160218239 1752072249.160275936 -0.000057697, ltcy: 0.05 us, exec: 0.10 us, limit: 0.31 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:44:10.1603934 1752072250.160393476 1752072250.160459757 -0.000066519, ltcy: 0.18 us, exec: 0.32 us, limit: 0.31 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:44:11.1606280 1752072251.160628080 1752072251.160702467 -0.000074625, ltcy: 0.16 us, exec: 0.50 us, limit: 0.32 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:44:12.1608969 1752072252.160897017 1752072252.160975933 -0.000079155, ltcy: 0.17 us, exec: 0.38 us, limit: 0.31 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:44:13.1611429 1752072253.161143064 1752072253.161220074 -0.000077248, ltcy: 0.18 us, exec: 0.32 us, limit: 0.31 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:44:14.1613916 1752072254.161391735 1752072254.161473989 -0.000082493, ltcy: 0.16 us, exec: 0.31 us, limit: 0.31 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:44:15.1616264 1752072255.161626339 1752072255.161714077 -0.000087976, ltcy: 0.18 us, exec: 0.31 us, limit: 0.30 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:44:16.1618965 1752072256.161896706 1752072256.161982536 -0.000086069, ltcy: 0.18 us, exec: 0.38 us, limit: 0.30 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:44:17.1621332 1752072257.162133217 1752072257.162220955 -0.000087976, ltcy: 0.16 us, exec: 0.32 us, limit: 0.30 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:44:18.1623897 1752072258.162389755 1752072258.162474871 -0.000085354, ltcy: 0.18 us, exec: 0.31 us, limit: 0.31 us, st: 0x0014, NTP leap: 0x00
