
mbgsvcd v4.2.28 copyright Meinberg 2010-2024

2025-07-29 17:42:32 PC cycles counter frequency: 2900000000 Hz
2025-07-29 17:42:32 Found 1 device usable for the NTP daemon.
2025-07-29 17:42:32 Query-only mode, not updating SHM.
2025-07-29 17:42:32 GNS181PEX: Is synchronized
GNS181PEX: 2025-07-29 17:42:32.0247744 1753810952.024774551 1753810952.025054455 -0.000279903, ltcy: 0.06 us, exec: 0.22 us, limit: 0.22 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:42:33.0250159 1753810953.025015831 1753810953.025246382 -0.000230789, ltcy: 0.17 us, exec: 0.30 us, limit: 0.26 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:42:34.0252685 1753810954.025268555 1753810954.025448084 -0.000179768, ltcy: 0.17 us, exec: 0.30 us, limit: 0.28 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:42:35.0255489 1753810955.025548935 1753810955.025684357 -0.000135660, ltcy: 0.19 us, exec: 0.47 us, limit: 0.32 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:42:36.0257925 1753810956.025792599 1753810956.025893211 -0.000100851, ltcy: 0.21 us, exec: 0.49 us, limit: 0.36 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:42:37.0260710 1753810957.026071072 1753810957.026143789 -0.000072956, ltcy: 0.19 us, exec: 0.35 us, limit: 0.36 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:42:38.0263643 1753810958.026364326 1753810958.026411533 -0.000047445, ltcy: 0.19 us, exec: 0.29 us, limit: 0.35 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:42:39.0266091 1753810959.026609182 1753810959.026640415 -0.000031471, ltcy: 0.21 us, exec: 0.50 us, limit: 0.37 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:42:40.0268505 1753810960.026850462 1753810960.026861906 -0.000011683, ltcy: 0.20 us, exec: 0.49 us, limit: 0.38 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:42:41.0270716 1753810961.027071714 1753810961.027070761 +0.000000715, ltcy: 0.20 us, exec: 0.47 us, limit: 0.39 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:42:42.0273241 1753810962.027324200 1753810962.027311087 +0.000012875, ltcy: 0.21 us, exec: 0.34 us, limit: 0.39 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:42:43.0275235 1753810963.027523518 1753810963.027498007 +0.000025272, ltcy: 0.18 us, exec: 0.46 us, limit: 0.39 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:42:44.0277449 1753810964.027745008 1753810964.027712584 +0.000032187, ltcy: 0.22 us, exec: 0.44 us, limit: 0.40 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:42:45.0280195 1753810965.028019667 1753810965.027979612 +0.000039816, ltcy: 0.19 us, exec: 0.30 us, limit: 0.39 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:42:46.0283058 1753810966.028305769 1753810966.028261185 +0.000044346, ltcy: 0.16 us, exec: 0.30 us, limit: 0.38 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:42:47.0285431 1753810967.028543234 1753810967.028490067 +0.000052929, ltcy: 0.18 us, exec: 0.21 us, limit: 0.37 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:42:48.0287705 1753810968.028770447 1753810968.028715134 +0.000055075, ltcy: 0.20 us, exec: 0.25 us, limit: 0.37 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:42:49.0290200 1753810969.029020071 1753810969.028965235 +0.000054598, ltcy: 0.19 us, exec: 0.25 us, limit: 0.36 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:42:50.0292235 1753810970.029223442 1753810970.029172897 +0.000050306, ltcy: 0.18 us, exec: 0.23 us, limit: 0.35 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:42:51.0296335 1753810971.029633522 1753810971.029588938 +0.000044346, ltcy: 0.17 us, exec: 0.26 us, limit: 0.36 us, st: 0x0014, NTP leap: 0x00, retries: 1 <<
GNS181PEX: 2025-07-29 17:42:52.0298096 1753810972.029809713 1753810972.029770374 +0.000039101, ltcy: 0.19 us, exec: 0.36 us, limit: 0.36 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:42:53.0300292 1753810973.030029297 1753810973.029994726 +0.000034332, ltcy: 0.17 us, exec: 0.33 us, limit: 0.36 us, st: 0x0014, NTP leap: 0x00
