
mbgsvcd v4.2.28 copyright Meinberg 2010-2024

2025-07-29 17:36:06 PC cycles counter frequency: 2900000000 Hz
2025-07-29 17:36:06 Found 1 device usable for the NTP daemon.
2025-07-29 17:36:06 Query-only mode, not updating SHM.
2025-07-29 17:36:06 GNS181PEX: Is synchronized
GNS181PEX: 2025-07-29 17:36:06.5521494 1753810566.552149534 1753810566.552685738 -0.000536442, ltcy: 0.16 us, exec: 0.12 us, limit: 0.12 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:36:07.5524209 1753810567.552420855 1753810567.552856207 -0.000435591, ltcy: 0.19 us, exec: 0.29 us, limit: 0.20 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:36:08.5529571 1753810568.552957058 1753810568.553298473 -0.000341654, ltcy: 0.14 us, exec: 0.21 us, limit: 0.29 us, st: 0x0014, NTP leap: 0x00, retries: 1 <<
GNS181PEX: 2025-07-29 17:36:09.5532419 1753810569.553241968 1753810569.553503036 -0.000261307, ltcy: 0.19 us, exec: 0.47 us, limit: 0.32 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:36:10.5535346 1753810570.553534746 1753810570.553729296 -0.000194788, ltcy: 0.19 us, exec: 0.32 us, limit: 0.32 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:36:11.5538325 1753810571.553832531 1753810571.553972006 -0.000139713, ltcy: 0.17 us, exec: 0.32 us, limit: 0.32 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:36:12.5541189 1753810572.554118872 1753810572.554211855 -0.000093222, ltcy: 0.19 us, exec: 0.49 us, limit: 0.34 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:36:13.5543885 1753810573.554388523 1753810573.554445267 -0.000056982, ltcy: 0.17 us, exec: 0.30 us, limit: 0.34 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:36:14.5546742 1753810574.554674149 1753810574.554699183 -0.000025272, ltcy: 0.19 us, exec: 0.39 us, limit: 0.34 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:36:15.5549401 1753810575.554940224 1753810575.554939985 +0.000000000, ltcy: 0.18 us, exec: 0.28 us, limit: 0.34 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:36:16.5553710 1753810576.555371046 1753810576.555349350 +0.000021696, ltcy: 0.12 us, exec: 0.19 us, limit: 0.36 us, st: 0x0014, NTP leap: 0x00, retries: 1 <<
GNS181PEX: 2025-07-29 17:36:17.5556302 1753810577.555630207 1753810577.555589437 +0.000040531, ltcy: 0.22 us, exec: 0.52 us, limit: 0.37 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:36:18.5558694 1753810578.555869341 1753810578.555815935 +0.000053167, ltcy: 0.17 us, exec: 0.44 us, limit: 0.37 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:36:19.5561207 1753810579.556120634 1753810579.556056261 +0.000064135, ltcy: 0.21 us, exec: 0.59 us, limit: 0.39 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:36:20.5564014 1753810580.556401491 1753810580.556329250 +0.000072002, ltcy: 0.19 us, exec: 0.30 us, limit: 0.38 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:36:21.5566057 1753810581.556605816 1753810581.556525946 +0.000079632, ltcy: 0.19 us, exec: 0.31 us, limit: 0.38 us, st: 0x0014, NTP leap: 0x00
