
mbgsvcd v4.2.28 copyright Meinberg 2010-2024

2025-07-24 16:11:15 PC cycles counter frequency: 2900000000 Hz
2025-07-24 16:11:15 Found 1 device usable for the NTP daemon.
2025-07-24 16:11:15 Query-only mode, not updating SHM.
GNS181PEX: 2025-07-24 16:11:15.0745662 1753373475.074566126 1753373475.117905617 -0.043339729, ltcy: 0.29 us, exec: 0.49 us, limit: 0.49 us, st: 0x0011, NTP leap: 0x03
GNS181PEX: 2025-07-24 16:11:16.0748015 1753373476.074801445 1753373476.118141651 -0.043340445, ltcy: 0.25 us, exec: 0.31 us, limit: 0.40 us, st: 0x0011, NTP leap: 0x03
GNS181PEX: 2025-07-24 16:11:17.0750066 1753373477.075006723 1753373477.118347168 -0.043340683, ltcy: 0.26 us, exec: 0.63 us, limit: 0.47 us, st: 0x0011, NTP leap: 0x03
GNS181PEX: 2025-07-24 16:11:18.0752189 1753373478.075218916 1753373478.118559837 -0.043341160, ltcy: 0.27 us, exec: 0.31 us, limit: 0.43 us, st: 0x0011, NTP leap: 0x03
GNS181PEX: 2025-07-24 16:11:19.0754254 1753373479.075425386 1753373479.118766546 -0.043341398, ltcy: 0.26 us, exec: 0.30 us, limit: 0.41 us, st: 0x0011, NTP leap: 0x03
GNS181PEX: 2025-07-24 16:11:20.0755913 1753373480.075591326 1753373480.118932962 -0.043341875, ltcy: 0.24 us, exec: 0.30 us, limit: 0.39 us, st: 0x0011, NTP leap: 0x03
GNS181PEX: 2025-07-24 16:11:21.0757962 1753373481.075796127 1753373481.119138241 -0.043342352, ltcy: 0.27 us, exec: 0.63 us, limit: 0.42 us, st: 0x0011, NTP leap: 0x03
GNS181PEX: 2025-07-24 16:11:22.0760049 1753373482.076004982 1753373482.119347334 -0.043342590, ltcy: 0.25 us, exec: 0.56 us, limit: 0.44 us, st: 0x0011, NTP leap: 0x03
GNS181PEX: 2025-07-24 16:11:23.0762298 1753373483.076229811 1753373483.119572639 -0.043343067, ltcy: 0.28 us, exec: 0.48 us, limit: 0.45 us, st: 0x0011, NTP leap: 0x03
GNS181PEX: 2025-07-24 16:11:24.0764586 1753373484.076458693 1753373484.119801760 -0.043343306, ltcy: 0.27 us, exec: 0.37 us, limit: 0.44 us, st: 0x0011, NTP leap: 0x03
GNS181PEX: 2025-07-24 16:11:25.0766732 1753373485.076673269 1753373485.120016813 -0.043343782, ltcy: 0.24 us, exec: 0.31 us, limit: 0.43 us, st: 0x0011, NTP leap: 0x03
GNS181PEX: 2025-07-24 16:11:26.0769109 1753373486.076910973 1753373486.120254993 -0.043344259, ltcy: 0.25 us, exec: 0.30 us, limit: 0.42 us, st: 0x0011, NTP leap: 0x03
GNS181PEX: 2025-07-24 16:11:27.0771430 1753373487.077143192 1753373487.120487452 -0.043344498, ltcy: 0.24 us, exec: 0.26 us, limit: 0.40 us, st: 0x0011, NTP leap: 0x03
GNS181PEX: 2025-07-24 16:11:28.0773732 1753373488.077373266 1753373488.120717764 -0.043344736, ltcy: 0.27 us, exec: 0.32 us, limit: 0.40 us, st: 0x0011, NTP leap: 0x03
GNS181PEX: 2025-07-24 16:11:29.0775859 1753373489.077585936 1753373489.120931149 -0.043345451, ltcy: 0.26 us, exec: 0.60 us, limit: 0.41 us, st: 0x0011, NTP leap: 0x03
GNS181PEX: 2025-07-24 16:11:30.0778301 1753373490.077830076 1753373490.121175766 -0.043345928, ltcy: 0.25 us, exec: 0.29 us, limit: 0.40 us, st: 0x0011, NTP leap: 0x03
GNS181PEX: 2025-07-24 16:11:31.0780954 1753373491.078095436 1753373491.121441603 -0.043346405, ltcy: 0.24 us, exec: 0.39 us, limit: 0.40 us, st: 0x0011, NTP leap: 0x03
GNS181PEX: 2025-07-24 16:11:32.0783404 1753373492.078340530 1753373492.121686935 -0.043346643, ltcy: 0.24 us, exec: 0.30 us, limit: 0.40 us, st: 0x0011, NTP leap: 0x03
GNS181PEX: 2025-07-24 16:11:33.0785957 1753373493.078595877 1753373493.121942759 -0.043347120, ltcy: 0.22 us, exec: 0.29 us, limit: 0.39 us, st: 0x0011, NTP leap: 0x03
GNS181PEX: 2025-07-24 16:11:34.0788225 1753373494.078822613 1753373494.122169733 -0.043347359, ltcy: 0.24 us, exec: 0.29 us, limit: 0.39 us, st: 0x0011, NTP leap: 0x03
GNS181PEX: 2025-07-24 16:11:35.0790436 1753373495.079043627 1753373495.122391224 -0.043347836, ltcy: 0.26 us, exec: 0.29 us, limit: 0.38 us, st: 0x0011, NTP leap: 0x03
GNS181PEX: 2025-07-24 16:11:36.0792774 1753373496.079277515 1753373496.122625589 -0.043348312, ltcy: 0.26 us, exec: 0.26 us, limit: 0.38 us, st: 0x0011, NTP leap: 0x03
GNS181PEX: 2025-07-24 16:11:37.0794957 1753373497.079495668 1753373497.122844219 -0.043348789, ltcy: 0.27 us, exec: 0.63 us, limit: 0.39 us, st: 0x0011, NTP leap: 0x03
GNS181PEX: 2025-07-24 16:11:38.0798972 1753373498.079897165 1753373498.123246431 -0.043349504, ltcy: 0.15 us, exec: 0.32 us, limit: 0.40 us, st: 0x0011, NTP leap: 0x03, retries: 1 <<
GNS181PEX: 2025-07-24 16:11:39.0801182 1753373499.080118179 1753373499.123467445 -0.043349504, ltcy: 0.27 us, exec: 0.29 us, limit: 0.40 us, st: 0x0011, NTP leap: 0x03
GNS181PEX: 2025-07-24 16:11:40.0803431 1753373500.080343246 1753373500.123692751 -0.043349743, ltcy: 0.26 us, exec: 0.66 us, limit: 0.41 us, st: 0x0011, NTP leap: 0x03
GNS181PEX: 2025-07-24 16:11:41.0806146 1753373501.080614567 1753373501.123964787 -0.043350458, ltcy: 0.24 us, exec: 0.30 us, limit: 0.40 us, st: 0x0011, NTP leap: 0x03
GNS181PEX: 2025-07-24 16:11:42.0808225 1753373502.080822468 1753373502.124172926 -0.043350697, ltcy: 0.24 us, exec: 0.39 us, limit: 0.40 us, st: 0x0011, NTP leap: 0x03
GNS181PEX: 2025-07-24 16:11:43.0811244 1753373503.081124306 1753373503.124475241 -0.043351173, ltcy: 0.25 us, exec: 0.32 us, limit: 0.40 us, st: 0x0011, NTP leap: 0x03
GNS181PEX: 2025-07-24 16:11:44.0813483 1753373504.081348419 1753373504.124699593 -0.043351412, ltcy: 0.29 us, exec: 0.60 us, limit: 0.41 us, st: 0x0011, NTP leap: 0x03
GNS181PEX: 2025-07-24 16:11:45.0815642 1753373505.081564188 1753373505.124916077 -0.043352127, ltcy: 0.27 us, exec: 0.30 us, limit: 0.40 us, st: 0x0011, NTP leap: 0x03
GNS181PEX: 2025-07-24 16:11:46.0818367 1753373506.081836700 1753373506.125188828 -0.043352365, ltcy: 0.27 us, exec: 0.67 us, limit: 0.41 us, st: 0x0011, NTP leap: 0x03
GNS181PEX: 2025-07-24 16:11:47.0820976 1753373507.082097530 1753373507.125449896 -0.043352842, ltcy: 0.55 us, exec: 0.29 us, limit: 0.41 us, st: 0x0011, NTP leap: 0x03
GNS181PEX: 2025-07-24 16:11:48.0823053 1753373508.082305431 1753373508.125658512 -0.043353319, ltcy: 0.15 us, exec: 0.24 us, limit: 0.39 us, st: 0x0011, NTP leap: 0x03
GNS181PEX: 2025-07-24 16:11:49.0824988 1753373509.082498789 1753373509.125852108 -0.043353558, ltcy: 0.24 us, exec: 0.31 us, limit: 0.40 us, st: 0x0011, NTP leap: 0x03
GNS181PEX: 2025-07-24 16:11:50.0827560 1753373510.082756042 1753373510.126109838 -0.043354034, ltcy: 0.25 us, exec: 0.29 us, limit: 0.39 us, st: 0x0011, NTP leap: 0x03
GNS181PEX: 2025-07-24 16:11:51.0829684 1753373511.082968473 1753373511.126322508 -0.043354273, ltcy: 0.28 us, exec: 0.64 us, limit: 0.41 us, st: 0x0011, NTP leap: 0x03
GNS181PEX: 2025-07-24 16:11:52.0831989 1753373512.083199024 1753373512.126553535 -0.043354750, ltcy: 0.24 us, exec: 0.32 us, limit: 0.40 us, st: 0x0011, NTP leap: 0x03
GNS181PEX: 2025-07-24 16:11:53.0834320 1753373513.083431959 1753373513.126786947 -0.043355227, ltcy: 0.26 us, exec: 0.62 us, limit: 0.40 us, st: 0x0011, NTP leap: 0x03
GNS181PEX: 2025-07-24 16:11:54.0836441 1753373514.083644152 1753373514.126999378 -0.043355465, ltcy: 0.27 us, exec: 0.64 us, limit: 0.40 us, st: 0x0011, NTP leap: 0x03
GNS181PEX: 2025-07-24 16:11:55.0838799 1753373515.083879948 1753373515.127235651 -0.043355942, ltcy: 0.29 us, exec: 0.46 us, limit: 0.40 us, st: 0x0011, NTP leap: 0x03
GNS181PEX: 2025-07-24 16:11:56.0840926 1753373516.084092617 1753373516.127448797 -0.043356419, ltcy: 0.26 us, exec: 0.65 us, limit: 0.42 us, st: 0x0011, NTP leap: 0x03
GNS181PEX: 2025-07-24 16:11:57.0843306 1753373517.084330797 1753373517.127687216 -0.043356657, ltcy: 0.26 us, exec: 0.24 us, limit: 0.41 us, st: 0x0011, NTP leap: 0x03
GNS181PEX: 2025-07-24 16:11:58.0845051 1753373518.084505081 1753373518.127861977 -0.043357134, ltcy: 0.25 us, exec: 0.31 us, limit: 0.41 us, st: 0x0011, NTP leap: 0x03
GNS181PEX: 2025-07-24 16:11:59.0847607 1753373519.084760666 1753373519.128118038 -0.043357611, ltcy: 0.23 us, exec: 0.37 us, limit: 0.42 us, st: 0x0011, NTP leap: 0x03
GNS181PEX: 2025-07-24 16:12:00.0849848 1753373520.084984779 1753373520.128342628 -0.043358088, ltcy: 0.27 us, exec: 0.65 us, limit: 0.42 us, st: 0x0011, NTP leap: 0x03
GNS181PEX: 2025-07-24 16:12:01.0852694 1753373521.085269451 1753373521.128627300 -0.043358326, ltcy: 0.39 us, exec: 0.66 us, limit: 0.43 us, st: 0x0011, NTP leap: 0x03
GNS181PEX: 2025-07-24 16:12:02.0855403 1753373522.085540295 1753373522.128898859 -0.043358803, ltcy: 0.25 us, exec: 0.30 us, limit: 0.43 us, st: 0x0011, NTP leap: 0x03
GNS181PEX: 2025-07-24 16:12:03.0858137 1753373523.085813761 1753373523.129172802 -0.043359280, ltcy: 0.26 us, exec: 0.29 us, limit: 0.43 us, st: 0x0011, NTP leap: 0x03
GNS181PEX: 2025-07-24 16:12:04.0860054 1753373524.086005449 1753373524.129364491 -0.043359280, ltcy: 0.24 us, exec: 0.64 us, limit: 0.44 us, st: 0x0011, NTP leap: 0x03
GNS181PEX: 2025-07-24 16:12:05.0862643 1753373525.086264372 1753373525.129624128 -0.043359995, ltcy: 0.25 us, exec: 0.30 us, limit: 0.44 us, st: 0x0011, NTP leap: 0x03
GNS181PEX: 2025-07-24 16:12:06.0864832 1753373526.086483240 1753373526.129843473 -0.043360472, ltcy: 0.26 us, exec: 0.60 us, limit: 0.45 us, st: 0x0011, NTP leap: 0x03
GNS181PEX: 2025-07-24 16:12:07.0867537 1753373527.086753845 1753373527.130114317 -0.043360710, ltcy: 0.26 us, exec: 0.30 us, limit: 0.45 us, st: 0x0011, NTP leap: 0x03
GNS181PEX: 2025-07-24 16:12:08.0870032 1753373528.087003231 1753373528.130364180 -0.043361187, ltcy: 0.24 us, exec: 0.30 us, limit: 0.44 us, st: 0x0011, NTP leap: 0x03
GNS181PEX: 2025-07-24 16:12:09.0872575 1753373529.087257624 1753373529.130618811 -0.043361425, ltcy: 0.24 us, exec: 0.30 us, limit: 0.42 us, st: 0x0011, NTP leap: 0x03
GNS181PEX: 2025-07-24 16:12:10.0874610 1753373530.087460995 1753373530.130822420 -0.043361664, ltcy: 0.25 us, exec: 0.29 us, limit: 0.42 us, st: 0x0011, NTP leap: 0x03
GNS181PEX: 2025-07-24 16:12:11.0877229 1753373531.087723017 1753373531.131085157 -0.043362379, ltcy: 0.23 us, exec: 0.29 us, limit: 0.42 us, st: 0x0011, NTP leap: 0x03
GNS181PEX: 2025-07-24 16:12:12.0879506 1753373532.087950706 1753373532.131313086 -0.043362617, ltcy: 0.26 us, exec: 0.49 us, limit: 0.42 us, st: 0x0011, NTP leap: 0x03
GNS181PEX: 2025-07-24 16:12:13.0881799 1753373533.088179827 1753373533.131542921 -0.043363333, ltcy: 0.25 us, exec: 0.59 us, limit: 0.43 us, st: 0x0011, NTP leap: 0x03
GNS181PEX: 2025-07-24 16:12:14.0884378 1753373534.088437796 1753373534.131801128 -0.043363571, ltcy: 0.26 us, exec: 0.30 us, limit: 0.42 us, st: 0x0011, NTP leap: 0x03
GNS181PEX: 2025-07-24 16:12:15.0886766 1753373535.088676691 1753373535.132040024 -0.043363571, ltcy: 0.25 us, exec: 0.29 us, limit: 0.42 us, st: 0x0011, NTP leap: 0x03
GNS181PEX: 2025-07-24 16:12:16.0888701 1753373536.088870287 1753373536.132234335 -0.043364286, ltcy: 0.32 us, exec: 0.29 us, limit: 0.41 us, st: 0x0011, NTP leap: 0x03
GNS181PEX: 2025-07-24 16:12:16.2106775 1753373536.210677624 1753373536.254041672 -0.043364286, ltcy: 0.25 us, exec: 0.60 us, limit: 0.42 us, st: 0x0011, NTP leap: 0x03
