
mbgsvcd v4.2.28 copyright Meinberg 2010-2024

2025-03-25 10:51:13 PC cycles counter frequency: 2900000000 Hz
2025-03-25 10:51:13 Found 1 device usable for the NTP daemon.
2025-03-25 10:51:13 Query-only mode, not updating SHM.
2025-03-25 10:51:13 GNS181PEX: Is synchronized
GNS181PEX: 2025-03-25 10:51:13.4217174 1742899873.421717405 1742899873.421978235 -0.000260830, ltcy: 0.09 us, exec: 0.17 us, limit: 0.17 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-03-25 10:51:14.4218962 1742899874.421896219 1742899874.422171116 -0.000275135, ltcy: 0.26 us, exec: 0.29 us, limit: 0.23 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-03-25 10:51:15.4223028 1742899875.422302961 1742899875.422445297 -0.000142574, ltcy: 0.24 us, exec: 0.25 us, limit: 0.24 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-03-25 10:51:16.4235972 1742899876.423597336 1742899876.422653913 +0.000943184, ltcy: 0.26 us, exec: 0.29 us, limit: 0.25 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-03-25 10:51:17.4233525 1742899877.423352480 1742899877.422927380 +0.000424862, ltcy: 0.27 us, exec: 0.33 us, limit: 0.27 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-03-25 10:51:18.4232230 1742899878.423223019 1742899878.423402786 -0.000180006, ltcy: 0.16 us, exec: 0.30 us, limit: 0.33 us, st: 0x0014, NTP leap: 0x00, retries: 1 <<
GNS181PEX: 2025-03-25 10:51:19.4235551 1742899879.423555136 1742899879.423846006 -0.000291109, ltcy: 0.14 us, exec: 0.13 us, limit: 0.34 us, st: 0x0014, NTP leap: 0x00, retries: 1 <<
GNS181PEX: 2025-03-25 10:51:20.4237379 1742899880.423738003 1742899880.424104214 -0.000366449, ltcy: 0.27 us, exec: 0.29 us, limit: 0.34 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-03-25 10:51:21.4239843 1742899881.423984289 1742899881.424382925 -0.000398874, ltcy: 0.19 us, exec: 0.29 us, limit: 0.33 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-03-25 10:51:22.4241815 1742899882.424181461 1742899882.424633026 -0.000451803, ltcy: 0.19 us, exec: 0.29 us, limit: 0.33 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-03-25 10:51:23.4242471 1742899883.424247265 1742899883.424887180 -0.000640154, ltcy: 0.26 us, exec: 0.58 us, limit: 0.35 us, st: 0x0014, NTP leap: 0x00
