GIT_REVISION="19122b464839df5c936621a3c85e9969ad42732f"

mbgsvcd v4.2.28 copyright Meinberg 2010-2024

2025-03-25 10:51:45 PC cycles counter frequency: 2900000000 Hz
2025-03-25 10:51:45 Found 1 device usable for the NTP daemon.
2025-03-25 10:51:45 Query-only mode, not updating SHM.
2025-03-25 10:51:45 GNS181PEX: Is synchronized
GNS181PEX: 2025-03-25 10:51:45.0736361 1742899905.073636055 1742899905.073834181 -0.000198364, ltcy: 0.14 us, exec: 0.26 us, limit: 0.26 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-03-25 10:51:46.0738137 1742899906.073813677 1742899906.074020386 -0.000207186, ltcy: 0.38 us, exec: 0.28 us, limit: 0.27 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-03-25 10:51:47.0740609 1742899907.074060917 1742899907.074277163 -0.000216484, ltcy: 0.20 us, exec: 0.28 us, limit: 0.27 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-03-25 10:51:48.0743083 1742899908.074308395 1742899908.074532747 -0.000224590, ltcy: 0.24 us, exec: 0.58 us, limit: 0.35 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-03-25 10:51:49.0745614 1742899909.074561357 1742899909.074795961 -0.000234842, ltcy: 0.24 us, exec: 0.28 us, limit: 0.34 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-03-25 10:51:50.0748073 1742899910.074807405 1742899910.075056076 -0.000248909, ltcy: 0.26 us, exec: 0.28 us, limit: 0.33 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-03-25 10:51:51.0750460 1742899911.075046062 1742899911.075310707 -0.000264883, ltcy: 0.27 us, exec: 0.25 us, limit: 0.32 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-03-25 10:51:52.0752890 1742899912.075289011 1742899912.075568676 -0.000279903, ltcy: 0.27 us, exec: 0.29 us, limit: 0.31 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-03-25 10:51:53.0755364 1742899913.075536489 1742899913.075823069 -0.000286818, ltcy: 0.24 us, exec: 0.29 us, limit: 0.31 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-03-25 10:51:54.0757987 1742899914.075798750 1742899914.076085806 -0.000287294, ltcy: 0.26 us, exec: 0.29 us, limit: 0.31 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-03-25 10:51:55.0760857 1742899915.076085806 1742899915.076377153 -0.000291586, ltcy: 0.26 us, exec: 0.28 us, limit: 0.31 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-03-25 10:51:56.0763344 1742899916.076334476 1742899916.076634169 -0.000299931, ltcy: 0.24 us, exec: 0.28 us, limit: 0.30 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-03-25 10:51:57.0765308 1742899917.076530933 1742899917.076833487 -0.000302792, ltcy: 0.25 us, exec: 0.52 us, limit: 0.32 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-03-25 10:51:58.0767930 1742899918.076792955 1742899918.077092886 -0.000300169, ltcy: 0.18 us, exec: 0.28 us, limit: 0.32 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-03-25 10:51:59.0770758 1742899919.077075958 1742899919.077403307 -0.000327587, ltcy: 0.25 us, exec: 0.34 us, limit: 0.32 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-03-25 10:52:00.0773396 1742899920.077339649 1742899920.077661037 -0.000321627, ltcy: 0.25 us, exec: 0.29 us, limit: 0.32 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-03-25 10:52:01.0775883 1742899921.077588320 1742899921.077907324 -0.000319242, ltcy: 0.25 us, exec: 0.28 us, limit: 0.31 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-03-25 10:52:02.0778462 1742899922.077846289 1742899922.078164816 -0.000318766, ltcy: 0.25 us, exec: 0.34 us, limit: 0.32 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-03-25 10:52:03.0781255 1742899923.078125477 1742899923.078448296 -0.000323057, ltcy: 0.24 us, exec: 0.29 us, limit: 0.32 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-03-25 10:52:04.0783911 1742899924.078391075 1742899924.078713655 -0.000322819, ltcy: 0.24 us, exec: 0.38 us, limit: 0.32 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-03-25 10:52:05.0788380 1742899925.078838110 1742899925.079153299 -0.000315428, ltcy: 0.19 us, exec: 0.27 us, limit: 0.33 us, st: 0x0014, NTP leap: 0x00, retries: 1 <<
GNS181PEX: 2025-03-25 10:52:06.0791284 1742899926.079128504 1742899926.079430103 -0.000301838, ltcy: 0.26 us, exec: 0.54 us, limit: 0.34 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-03-25 10:52:07.0793913 1742899927.079391241 1742899927.079682350 -0.000291348, ltcy: 0.22 us, exec: 0.56 us, limit: 0.35 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-03-25 10:52:08.0796641 1742899928.079664230 1742899928.079947710 -0.000283718, ltcy: 0.25 us, exec: 0.28 us, limit: 0.35 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-03-25 10:52:09.0799166 1742899929.079916716 1742899929.080193520 -0.000277042, ltcy: 0.23 us, exec: 0.58 us, limit: 0.35 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-03-25 10:52:10.0801914 1742899930.080191374 1742899930.080461025 -0.000269890, ltcy: 0.26 us, exec: 0.28 us, limit: 0.35 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-03-25 10:52:11.0804491 1742899931.080449104 1742899931.080710411 -0.000261545, ltcy: 0.26 us, exec: 0.29 us, limit: 0.35 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-03-25 10:52:12.0807106 1742899932.080710649 1742899932.080963135 -0.000252724, ltcy: 0.26 us, exec: 0.29 us, limit: 0.35 us, st: 0x0014, NTP leap: 0x00
